path,label_true,pixels
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/7384b0cd61756458.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/hemg_3380a8692e109302.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/hemg_5112f764b56ff5b1.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/2c8cb27fa2e8cdfe.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/hemg_222d7030346ef344.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/hemg_253c9f7c52abad29.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/61aa516c65ea4af7.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/180222162827-the-kiss-story-top-card-image.jpg,original,360000
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/hemg_35bc8243a5f568b0.jpg,original,1024
/Users/netanel.ossi/Desktop/ai-detector-datasets/flat_all/real/hemg_58037ec913e87685.jpg,original,1024
